Boroughs,OSC Count
Kingston upon Thames,176
Croydon,175
Bromley,21
Hounslow,311
Ealing,228
Havering,1
Hillingdon,0
Harrow,26
Brent,397
Barnet,10
Lambeth,342
Southwark,1219
Lewisham,116
Greenwich,117
Bexley,5
Enfield,108
Waltham Forest,289
Redbridge,73
Sutton,118
Richmond upon Thames,478
Merton,232
Wandsworth,844
Hammersmith and Fulham,2208
Kensington and Chelsea,646
Westminster,1571
Camden,382
Tower Hamlets,313
Islington,307
Hackney,324
Haringey,65
Newham,65
Barking and Dagenham,36
City of London,4
